tipo,titulo,director,ano_lanzamiento,duracion,indice,plataforma
Movie,"The Grand Seduction","Don McKellar",2014,113,0,AMZN
Movie,"Take Care Good Night","Girish Joshi",2018,110,1,AMZN
Movie,"Secrets of Deception","Josh Webber",2017,74,2,AMZN
Movie,"Pink: Staying True","Sonia Anderson",2014,69,3,AMZN
Movie,"Monster Maker","Giles Foster",1989,45,4,AMZN
Movie,"Living With Dinosaurs","Paul Weiland",1989,52,5,AMZN
Movie,"Hired Gun","Fran Strine",2017,98,6,AMZN
Movie,"Grease Live!","Thomas Kail, Alex Rudzinski",2016,131,7,AMZN
Movie,"Global Meltdown","Daniel Gilboy",2017,87,8,AMZN
Movie,"David's Mother","Robert Allan Ackerman",1994,92,9,AMZN
Movie,"Forest Fairies","Justin G. Dyck",2016,88,10,AMZN
Movie,"Take Care","Liz Tuccillo",2014,93,11,AMZN
Movie,"The Night Eats The World","Dominique Rocher",2018,94,12,AMZN
Movie,Resilencia,"Jep Barcelona",2020,46,13,AMZN
Movie,"Elon Musk: The Real Life Iron Man","Sonia Anderson",2018,74,14,AMZN
Movie,"Summer '03","Becca Gleason",2019,96,15,AMZN
Movie,Zoombies,"Glenn Miller",2016,87,16,AMZN
"TV Show","Zoo Babies","Sin Datos",2008,1,17,AMZN
"TV Show","Zoë Coombs Marr: Bossy Bottom","Sin Datos",2020,1,18,AMZN
Movie,Zoe,"Drake Doremus",2018,104,19,AMZN
"TV Show",Zoboomafoo,"Sin Datos",2001,1,20,AMZN
"TV Show","Zo Zo Zombie: Mini-Series","Sin Datos",2020,1,21,AMZN
Movie,"Zis Boom Bah","William Nigh",1941,62,22,AMZN
"TV Show",ZeroZeroZero,"Sin Datos",2020,1,23,AMZN
Movie,Zandalee,"Sam Pillsbury",1991,94,24,AMZN
Movie,"Zambezi: Force of Life","Dr. Rudolf Lammers",2005,50,25,AMZN
"TV Show","Zahara: The Return","Sin Datos",2020,1,26,AMZN
"TV Show","Z: The Beginning of Everything","Sin Datos",2017,1,27,AMZN
"TV Show","Yu-Gi-Oh! Zexal","Sin Datos",2015,3,28,AMZN
"TV Show","Yu-Gi-Oh! ARC-V","Sin Datos",2018,3,29,AMZN
"TV Show","Yu-Gi-Oh! 5D's","Sin Datos",2011,2,30,AMZN
"TV Show","Your Bleeped Up Brain","Sin Datos",2013,1,31,AMZN
Movie,"Young Lovers","Ida Lupino",1949,86,32,AMZN
Movie,"Young Love (at the Sun Factory)","Sin Datos",2007,36,33,AMZN
Movie,"Young Love (at Bowery Ballroom)","Sin Datos",2007,37,34,AMZN
"TV Show","Young Lions","Sin Datos",2002,1,35,AMZN
Movie,"You're Not You","George C. Wolfe",2015,103,36,AMZN
Movie,"You, Me and Him","Daisy Aitkens",2017,98,37,AMZN
Movie,"Yoga with Sound Meditations","Mark Knight",2016,9,38,AMZN
Movie,"Yoga to Harness Your Chakra Energy","Mark Knight",2014,18,39,AMZN
Movie,"Yoga to Ease Flight Anxiety","Mark Knight",2016,14,40,AMZN
Movie,"Yoga to Break Any Habit","Mark Knight",2014,20,41,AMZN
"TV Show","Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper","Sin Datos",2018,1,42,AMZN
Movie,"Yoga Savasana Relaxation","Mark Knight",2014,19,43,AMZN
Movie,"Yoga for Relaxation Anywhere","Mark Knight",2014,18,44,AMZN
Movie,"Yoga for Relaxation and Stress Relief Anywhere","Mark Knight",2014,20,45,AMZN
Movie,"Yoga for Relaxation and Stress Relief","Mark Knight",2014,20,46,AMZN
Movie,"Yoga for Mindfulness and Meditation","Mark Knight",2016,22,47,AMZN
Movie,"Yoga for Men's Health","Mark Knight",2016,60,48,AMZN
